time	Freq	W	B2	B1
2022-04-20, 15:33:46	1500 Hz	15 W	6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:48	1500 Hz	15 W	6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:50	1500 Hz	15 W	6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:52	1500 Hz	16 W	6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:54	1500 Hz	16 W	6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:56	1500 Hz	15 W	6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:33:58	1500 Hz	15 W	6E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:00	1500 Hz	15 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:02	1500 Hz	15 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:04	1500 Hz	15 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:06	1500 Hz	16 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:08	1500 Hz	16 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:10	1500 Hz	15 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:12	1500 Hz	15 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:14	1500 Hz	15 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:16	1500 Hz	15 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:18	1500 Hz	16 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:20	1500 Hz	16 W	5,9E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:22	1500 Hz	15 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:24	1500 Hz	15 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:26	1500 Hz	15 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:28	1500 Hz	16 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:30	1500 Hz	15 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:32	1500 Hz	15 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:34	1500 Hz	16 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:36	1500 Hz	15 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:38	1500 Hz	15 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:40	1500 Hz	15 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:42	1500 Hz	16 W	5,8E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:44	1500 Hz	16 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:46	1500 Hz	16 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:48	1500 Hz	15 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:50	1500 Hz	15 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:52	1500 Hz	15 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:54	1500 Hz	15 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:56	1500 Hz	16 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:34:58	1500 Hz	16 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:00	1500 Hz	16 W	5,7E-6 mbar	1,5E-4 mbar
2022-04-20, 15:35:02	1500 Hz	15 W	5,7E-6 mbar	1,5E-4 mbar
